,Actual
05/29/2025,20294
06/05/2025,27631
06/12/2025,68355
06/19/2025,30125
06/26/2025,36115
07/03/2025,26374
07/17/2025,6869
08/07/2025,4446
08/14/2025,52682
08/21/2025,7659
08/28/2025,17927
09/04/2025,29069
09/11/2025,14668
09/25/2025,29116
10/02/2025,31555
10/09/2025,39526
10/16/2025,23456
10/23/2025,1324
10/30/2025,11414
11/06/2025,36679
11/13/2025,20342
11/20/2025,23085
11/27/2025,24559
12/04/2025,40303
